""	"Fgutabs"	"k_a"	"k_e"	"V_dist"
1	0.6071	0.6715	0.1636	21.598
1	0.6031	0.6515	0.0964	22.798
1	0.6009	0.6315	0.0292	23.998
1	0.6049	0.6115	0.078	25.198
1	0.6089	0.5915	0.1452	26.398
1	0.6129	0.5715	0.2124	27.598
1	0.6169	0.5515	0.2796	28.798
1	0.6209	0.5315	0.2532	29.998
1	0.6249	0.5115	0.186	31.198
1	0.6289	0.5085	0.1188	32.398
1	0.6329	0.5285	0.0516	33.598
1	0.6369	0.5485	0.0556	34.798
1	0.6409	0.5685	0.1228	35.998
1	0.6449	0.5885	0.19	37.198
1	0.6489	0.6085	0.2572	38.398
1	0.6529	0.6285	0.2756	39.598
1	0.6569	0.6485	0.2084	40.798
1	0.6609	0.6685	0.1412	41.998
1	0.6649	0.6885	0.074	43.198
1	0.6689	0.7085	0.0332	44.398
1	0.6729	0.7285	0.1004	45.598
1	0.6769	0.7485	0.1676	46.798
1	0.6809	0.7685	0.2348	47.998
1	0.6849	0.7885	0.298	49.198
1	0.6889	0.8085	0.2308	50.398
1	0.6929	0.8285	0.1636	51.598
1	0.6969	0.8485	0.0964	52.798
1	0.7009	0.8685	0.0292	53.998
1	0.7049	0.8885	0.078	55.198
1	0.7089	0.9085	0.1452	56.398
1	0.7129	0.9285	0.2124	57.598
1	0.7169	0.9485	0.2796	58.798
1	0.7209	0.9685	0.2532	59.998
1	0.7249	0.9885	0.186	58.802
1	0.7289	1.0085	0.1188	57.602
1	0.7329	1.0285	0.0516	56.402
1	0.7369	1.0485	0.0556	55.202
1	0.7409	1.0685	0.1228	54.002
1	0.7449	1.0885	0.19	52.802
1	0.7489	1.1085	0.2572	51.602
1	0.7529	1.1285	0.2756	50.402
1	0.7569	1.1485	0.2084	49.202
1	0.7609	1.1685	0.1412	48.002
1	0.7649	1.1885	0.074	46.802
1	0.7689	1.2085	0.0332	45.602
1	0.7729	1.2285	0.1004	44.402
1	0.7769	1.2485	0.1676	43.202
1	0.7809	1.2685	0.2348	42.002
1	0.7849	1.2885	0.298	40.802
1	0.7889	1.3085	0.2308	39.602
1	0.7929	1.3285	0.1636	38.402
1	0.7969	1.3485	0.0964	37.202
1	0.8009	1.3685	0.0292	36.002
1	0.8049	1.3885	0.078	34.802
1	0.8089	1.4085	0.1452	33.602
1	0.8129	1.4285	0.2124	32.402
1	0.8169	1.4485	0.2796	31.202
1	0.8209	1.4685	0.2532	30.002
1	0.8249	1.4885	0.186	28.802
1	0.8289	1.4915	0.1188	27.602
1	0.8329	1.4715	0.0516	26.402
1	0.8369	1.4515	0.0556	25.202
1	0.8409	1.4315	0.1228	24.002
1	0.8449	1.4115	0.19	22.802
1	0.8489	1.3915	0.2572	21.602
1	0.8529	1.3715	0.2756	20.402
1	0.8569	1.3515	0.2084	20.798
1	0.8609	1.3315	0.1412	21.998
1	0.8649	1.3115	0.074	23.198
1	0.8689	1.2915	0.0332	24.398
1	0.8729	1.2715	0.1004	25.598
1	0.8769	1.2515	0.1676	26.798
1	0.8809	1.2315	0.2348	27.998
1	0.8849	1.2115	0.298	29.198
1	0.8889	1.1915	0.2308	30.398
1	0.8929	1.1715	0.1636	31.598
1	0.8969	1.1515	0.0964	32.798
1	0.9009	1.1315	0.0292	33.998
1	0.9049	1.1115	0.078	35.198
1	0.9089	1.0915	0.1452	36.398
1	0.9129	1.0715	0.2124	37.598
1	0.9169	1.0515	0.2796	38.798
1	0.9209	1.0315	0.2532	39.998
1	0.9249	1.0115	0.186	41.198
1	0.9289	0.9915	0.1188	42.398
1	0.9329	0.9715	0.0516	43.598
1	0.9369	0.9515	0.0556	44.798
1	0.9409	0.9315	0.1228	45.998
1	0.9449	0.9115	0.19	47.198
1	0.9489	0.8915	0.2572	48.398
1	0.9529	0.8715	0.2756	49.598
1	0.9569	0.8515	0.2084	50.798
1	0.9609	0.8315	0.1412	51.998
1	0.9649	0.8115	0.074	53.198
1	0.9689	0.7915	0.0332	54.398
1	0.9729	0.7715	0.1004	55.598
1	0.9769	0.7515	0.1676	56.798
1	0.9809	0.7315	0.2348	57.998
1	0.9849	0.7115	0.298	59.198
1	0.9889	0.6915	0.2308	59.602
1	0.9929	0.6715	0.1636	58.402
1	0.9969	0.6515	0.0964	57.202
1	0.9991	0.6315	0.0292	56.002
1	0.9951	0.6115	0.078	54.802
1	0.9911	0.5915	0.1452	53.602
1	0.9871	0.5715	0.2124	52.402
1	0.9831	0.5515	0.2796	51.202
1	0.9791	0.5315	0.2532	50.002
1	0.9751	0.5115	0.186	48.802
1	0.9711	0.5085	0.1188	47.602
1	0.9671	0.5285	0.0516	46.402
1	0.9631	0.5485	0.0556	45.202
1	0.9591	0.5685	0.1228	44.002
1	0.9551	0.5885	0.19	42.802
1	0.9511	0.6085	0.2572	41.602
1	0.9471	0.6285	0.2756	40.402
1	0.9431	0.6485	0.2084	39.202
1	0.9391	0.6685	0.1412	38.002
1	0.9351	0.6885	0.074	36.802
1	0.9311	0.7085	0.0332	35.602
1	0.9271	0.7285	0.1004	34.402
1	0.9231	0.7485	0.1676	33.202
1	0.9191	0.7685	0.2348	32.002
1	0.9151	0.7885	0.298	30.802
1	0.9111	0.8085	0.2308	29.602
1	0.9071	0.8285	0.1636	28.402
1	0.9031	0.8485	0.0964	27.202
1	0.8991	0.8685	0.0292	26.002
1	0.8951	0.8885	0.078	24.802
1	0.8911	0.9085	0.1452	23.602
1	0.8871	0.9285	0.2124	22.402
1	0.8831	0.9485	0.2796	21.202
1	0.8791	0.9685	0.2532	20.002
1	0.8751	0.9885	0.186	21.198
1	0.8711	1.0085	0.1188	22.398
1	0.8671	1.0285	0.0516	23.598
1	0.8631	1.0485	0.0556	24.798
1	0.8591	1.0685	0.1228	25.998
1	0.8551	1.0885	0.19	27.198
1	0.8511	1.1085	0.2572	28.398
1	0.8471	1.1285	0.2756	29.598
1	0.8431	1.1485	0.2084	30.798
1	0.8391	1.1685	0.1412	31.998
1	0.8351	1.1885	0.074	33.198
1	0.8311	1.2085	0.0332	34.398
1	0.8271	1.2285	0.1004	35.598
1	0.8231	1.2485	0.1676	36.798
1	0.8191	1.2685	0.2348	37.998
1	0.8151	1.2885	0.298	39.198
1	0.8111	1.3085	0.2308	40.398
1	0.8071	1.3285	0.1636	41.598
1	0.8031	1.3485	0.0964	42.798
1	0.7991	1.3685	0.0292	43.998
1	0.7951	1.3885	0.078	45.198
1	0.7911	1.4085	0.1452	46.398
1	0.7871	1.4285	0.2124	47.598
1	0.7831	1.4485	0.2796	48.798
1	0.7791	1.4685	0.2532	49.998
1	0.7751	1.4885	0.186	51.198
1	0.7711	1.4915	0.1188	52.398
1	0.7671	1.4715	0.0516	53.598
1	0.7631	1.4515	0.0556	54.798
1	0.7591	1.4315	0.1228	55.998
1	0.7551	1.4115	0.19	57.198
1	0.7511	1.3915	0.2572	58.398
1	0.7471	1.3715	0.2756	59.598
1	0.7431	1.3515	0.2084	59.202
1	0.7391	1.3315	0.1412	58.002
1	0.7351	1.3115	0.074	56.802
1	0.7311	1.2915	0.0332	55.602
1	0.7271	1.2715	0.1004	54.402
1	0.7231	1.2515	0.1676	53.202
1	0.7191	1.2315	0.2348	52.002
1	0.7151	1.2115	0.298	50.802
1	0.7111	1.1915	0.2308	49.602
1	0.7071	1.1715	0.1636	48.402
1	0.7031	1.1515	0.0964	47.202
1	0.6991	1.1315	0.0292	46.002
1	0.6951	1.1115	0.078	44.802
1	0.6911	1.0915	0.1452	43.602
1	0.6871	1.0715	0.2124	42.402
1	0.6831	1.0515	0.2796	41.202
1	0.6791	1.0315	0.2532	40.002
1	0.6751	1.0115	0.186	38.802
1	0.6711	0.9915	0.1188	37.602
1	0.9738	0.8469	0.2763	26.9837
1	0.9698	0.8669	0.2679	36.5837
1	0.9658	0.8869	0.2595	46.1837
1	0.9618	0.9069	0.2511	55.7837
1	0.9578	0.9269	0.2427	54.6163
1	0.9538	0.9469	0.2343	45.0163
1	0.9498	0.9669	0.2259	35.4163
1	0.9458	0.9869	0.2175	25.8163
1	0.9418	1.0069	0.2091	23.7837
1	0.9378	1.0269	0.2007	33.3837
1	0.9338	1.0469	0.1923	42.9837
1	0.9298	1.0669	0.1839	52.5837
1	0.9258	1.0869	0.1755	57.8163
1	0.9218	1.1069	0.1671	48.2163
1	0.9178	1.1269	0.1587	38.6163
1	0.9138	1.1469	0.1503	29.0163
1	0.9098	1.1669	0.1419	20.5837
1	0.9058	1.1869	0.1335	30.1837
1	0.9018	1.2069	0.1251	39.7837
1	0.8978	1.2269	0.1167	49.3837
1	0.8938	1.2469	0.1083	58.9837
1	0.8898	1.2669	0.0999	51.4163
1	0.8858	1.2869	0.0915	41.8163
1	0.8818	1.3069	0.0831	32.2163
1	0.8778	1.3269	0.0747	22.6163
1	0.8738	1.3469	0.0663	26.9837
1	0.8698	1.3669	0.0579	36.5837
1	0.8658	1.3869	0.0495	46.1837
1	0.8618	1.4069	0.0411	55.7837
1	0.8578	1.4269	0.0327	54.6163
1	0.8538	1.4469	0.0243	45.0163
1	0.8498	1.4669	0.0241	35.4163
1	0.8458	1.4869	0.0325	25.8163
1	0.8418	1.4931	0.0409	23.7837
1	0.8378	1.4731	0.0493	33.3837
1	0.8338	1.4531	0.0577	42.9837
1	0.8298	1.4331	0.0661	52.5837
1	0.8258	1.4131	0.0745	57.8163
1	0.8218	1.3931	0.0829	48.2163
1	0.8178	1.3731	0.0913	38.6163
1	0.8138	1.3531	0.0997	29.0163
1	0.8098	1.3331	0.1081	20.5837
1	0.8058	1.3131	0.1165	30.1837
1	0.8018	1.2931	0.1249	39.7837
1	0.7978	1.2731	0.1333	49.3837
1	0.7938	1.2531	0.1417	58.9837
1	0.7898	1.2331	0.1501	51.4163
1	0.7858	1.2131	0.1585	41.8163
1	0.7818	1.1931	0.1669	32.2163
1	0.7778	1.1731	0.1753	22.6163
1	0.7738	1.1531	0.1837	26.9837
1	0.7698	1.1331	0.1921	36.5837
1	0.7658	1.1131	0.2005	46.1837
1	0.7618	1.0931	0.2089	55.7837
1	0.7578	1.0731	0.2173	54.6163
1	0.7538	1.0531	0.2257	45.0163
1	0.7498	1.0331	0.2341	35.4163
1	0.7458	1.0131	0.2425	25.8163
1	0.7418	0.9931	0.2509	23.7837
1	0.7378	0.9731	0.2593	33.3837
